November 6 2018,Ferrum,Away,Coastal Carolina,47
November 6 2018,Coastal Carolina,Home,Ferrum,91
November 6 2018,Florida A&M,Away,Jacksonville,65
November 6 2018,Jacksonville,Home,Florida A&M,50
November 6 2018,Florida Gulf Coast,Away,Illinois State,66
November 6 2018,Illinois State,Home,Florida Gulf Coast,74
November 6 2018,Fort Valley State,Away,Troy,60
November 6 2018,Troy,Home,Fort Valley State,95
November 6 2018,Gardner-Webb,Away,VCU,57
November 6 2018,VCU,Home,Gardner-Webb,69
November 6 2018,Grand Canyon,Away,South Dakota State,74
November 6 2018,South Dakota State,Home,Grand Canyon,79
November 6 2018,Huston-Tillotson,Away,Lamar,59
November 6 2018,Lamar,Home,Huston-Tillotson,79
November 6 2018,Idaho,Away,UC Irvine,68
November 6 2018,UC Irvine,Home,Idaho,86
November 6 2018,UIC,Away,Notre Dame,67
November 6 2018,Notre Dame,Home,UIC,84
November 6 2018,Incarnate Word,Away,Texas Tech,37
November 6 2018,Texas Tech,Home,Incarnate Word,87
November 6 2018,Indiana State,Away,Ball State,69
November 6 2018,Ball State,Home,Indiana State,86
November 6 2018,IUPUI,Away,Xavier,69
November 6 2018,Xavier,Home,IUPUI,82
November 6 2018,Johnson & Wales,Away,Air Force,65
November 6 2018,Air Force,Home,Johnson & Wales,90
November 6 2018,Kentucky Christian,Away,Morehead State,82
November 6 2018,Morehead State,Home,Kentucky Christian,102
November 6 2018,La Salle,Away,Temple,67
November 6 2018,Temple,Home,La Salle,75
November 6 2018,Lees-McRae,Away,Middle Tennessee,69
November 6 2018,Middle Tennessee,Home,Lees-McRae,91
November 6 2018,Lehigh,Away,Monmouth,85
November 6 2018,Monmouth,Home,Lehigh,61
November 6 2018,Louisiana-Monroe,Away,Jackson State,75
November 6 2018,Jackson State,Home,Louisiana-Monroe,66
November 6 2018,Louisiana Tech,Away,Wichita State,71
November 6 2018,Wichita State,Home,Louisiana Tech,58
November 6 2018,Loyola (MD),Away,St. John's (NY),55
November 6 2018,St. John's (NY),Home,Loyola (MD),76
November 6 2018,Maine,Away,Denver,50
November 6 2018,Denver,Home,Maine,63
November 6 2018,Marist,Away,Army,69
November 6 2018,Army,Home,Marist,73
November 6 2018,Mars Hill,Away,Appalachian State,62
November 6 2018,Appalachian State,Home,Mars Hill,125
November 6 2018,UMBC,Away,Marquette,42
November 6 2018,Marquette,Home,UMBC,67
November 6 2018,Maryland-Eastern Shore,Away,Georgetown,53
November 6 2018,Georgetown,Home,Maryland-Eastern Shore,68
November 6 2018,MIT,Away,Harvard,66
November 6 2018,Harvard,Home,MIT,78
November 6 2018,UMass-Lowell,Away,UMass,75
November 6 2018,UMass,Home,UMass-Lowell,83
November 6 2018,Mercer,Away,Alabama-Birmingham,67
November 6 2018,Alabama-Birmingham,Home,Mercer,75
November 6 2018,Mid-Atlantic Christian,Away,Hampton,58
November 6 2018,Hampton,Home,Mid-Atlantic Christian,110
November 6 2018,Milwaukee,Away,Boston College,53
November 6 2018,Boston College,Home,Milwaukee,73
November 6 2018,Mississippi College,Away,Nicholls State,58
November 6 2018,Nicholls State,Home,Mississippi College,86
November 6 2018,Mississippi Valley State,Away,Nebraska,37
November 6 2018,Nebraska,Home,Mississippi Valley State,106
November 6 2018,UMKC,Away,Loyola (IL),45
November 6 2018,Loyola (IL),Home,UMKC,76
November 6 2018,Mount St. Mary's,Away,NC State,55
November 6 2018,NC State,Home,Mount St. Mary's,105
