1.0	1.870959316079127e-13	1.8144113213698314e-13	2.130518219654985e-13	2.0305748790705244e-13	8.113904584145272e-13	8.626464937620529e-13
2.0	2.5534242263545225e-13	2.588940134729448e-13	3.421978669584076e-13	3.360674924022077e-13	1.089886182570145e-12	1.1248019814515152e-12
3.0	4.560885452151736e-13	4.353875134965506e-13	6.016350618459491e-13	5.651488066748261e-13	1.788068488209089e-12	2.127575530705235e-12
4.0	6.258365849070435e-13	6.235403897795243e-13	8.360948401409391e-13	8.123903317399367e-13	2.3722707412598832e-12	2.917379883496072e-12
5.0	7.773325365867285e-13	7.554801160551867e-13	1.0682658133752084e-12	1.0108740013145701e-12	2.896475301380706e-12	3.394292373693874e-12
6.0	8.895151722271783e-13	8.55038209330046e-13	1.2621373725525755e-12	1.1894444156566514e-12	3.332907618743037e-12	3.766373202708284e-12
7.0	1.0054134071909278e-12	9.90439810029574e-13	1.4778942067257582e-12	1.4003880053104397e-12	3.776133346575812e-12	4.296926081976879e-12
8.0	1.182251434450746e-12	1.1357254657884665e-12	1.727934740680285e-12	1.6238650893085488e-12	4.410742588435181e-12	4.781538758485911e-12
9.0	1.2334528788669591e-12	1.1849170727704939e-12	1.879197774593079e-12	1.7563042862843403e-12	4.63379823706665e-12	4.980602184400021e-12
10.0	1.3169135741845091e-12	1.3532943831529073e-12	2.057077022415467e-12	1.9969288191159482e-12	5.017900784252645e-12	5.5453434883992385e-12
11.0	1.4589873511381354e-12	1.3797901897570671e-12	2.3025130029150614e-12	2.1291096768470194e-12	5.529061619645317e-12	5.941550965802183e-12
12.0	1.564486471394159e-12	1.4480621924655895e-12	2.4687397089077885e-12	2.2890161711718963e-12	5.940313989087396e-12	6.3827964153132895e-12
13.0	1.6036199454734471e-12	1.5305529879172006e-12	2.6428228739518486e-12	2.468348858174715e-12	6.136712747282971e-12	6.873447755445622e-12
14.0	1.75251007367091e-12	1.6496261764276426e-12	2.8750881852202282e-12	2.677031879656368e-12	6.674493314522801e-12	7.571841652949286e-12
15.0	1.843531788295858e-12	1.7659334221388078e-12	3.0827001220891194e-12	2.9040878807798878e-12	7.123162065603822e-12	9.183785211019411e-12
16.0	1.8924116051948293e-12	1.8312940185685805e-12	3.23571950287619e-12	3.0798484753961533e-12	7.315854028268068e-12	1.0389568623217934e-11
17.0	1.9802694684600198e-12	1.826460389823761e-12	3.434703152577318e-12	3.173593736460705e-12	7.654466428811852e-12	1.0573936000077774e-11
18.0	2.031621487083286e-12	1.8430998676947254e-12	3.592905599539012e-12	3.2734296849310972e-12	7.908954849876053e-12	1.0313348472240627e-11
19.0	2.1342806548865784e-12	1.839200880101802e-12	3.794647353645624e-12	3.3323641171470127e-12	8.326458599937381e-12	1.0241623625183401e-11
20.0	2.1377337657424197e-12	1.7969387933388461e-12	3.933569997406557e-12	3.3529305801989237e-12	8.472803918983868e-12	9.937040405178426e-12
21.0	2.236058092264238e-12	1.8665726902901567e-12	4.1540592419069026e-12	3.4928671307198556e-12	8.887187546477952e-12	1.0203779417112662e-11
22.0	2.298128270423573e-12	1.8651726496507688e-12	4.3062382317176345e-12	3.5601585795428243e-12	9.14816474611687e-12	1.0031614170088897e-11
23.0	2.3122673004480692e-12	1.828942433236073e-12	4.455213584784876e-12	3.6295785580737456e-12	9.324737731013479e-12	1.0245592215477267e-11
24.0	2.423077966323319e-12	1.918879583746496e-12	4.654510769928194e-12	3.788512104824386e-12	9.701126168170076e-12	1.0520346840830604e-11
25.0	2.4098134444283693e-12	1.964139392192544e-12	4.6211888356748496e-12	3.9188052145487034e-12	9.648161602220927e-12	1.053614959226057e-11
26.0	2.2981303991151787e-12	1.9888981433519574e-12	4.374435238639902e-12	4.040452661764047e-12	9.097651188076464e-12	1.0604288077127267e-11
27.0	2.360736784428829e-12	2.0595113513829296e-12	4.557125161510218e-12	4.173320448653128e-12	9.407316313730132e-12	1.0652555831925807e-11
28.0	2.411082248934781e-12	2.0597155343706173e-12	4.7257778794499006e-12	4.274462171402273e-12	9.71157503582213e-12	1.0763609001814756e-11
29.0	2.493127562712721e-12	2.1148964872629487e-12	4.903733619148013e-12	4.415911993118642e-12	1.0114301106890701e-11	1.0885019788164314e-11
